lat,lon,timestamp,datetime,temp,pressure,humidity,wind_speed,wind_deg,weather
56.4305,-111.042,1715454000,2024-05-11 19:00:00,289.31,1008,26,6.63,316,clear sky
58.79335,-111.0685,1715511600,2024-05-12 11:00:00,274.24,1016,77,2.21,126,overcast clouds
59.626967,-117.449217,1719792000,2024-07-01 00:00:00,300.1,1004,31,2.8,137,overcast clouds
56.117083,-110.9935,1719943200,2024-07-02 18:00:00,295.7,1005,48,1.68,261,broken clouds
56.07425,-110.3874,1719943200,2024-07-02 18:00:00,297.81,1004,44,1.68,276,scattered clouds
55.8963,-115.615733,1720634400,2024-07-10 18:00:00,304.6,1003,31,1.97,128,scattered clouds
57.525183,-117.651467,1720818000,2024-07-12 21:00:00,294.31,1014,28,3.53,310,clear sky
58.382333,-115.915333,1713351600,2024-04-17 11:00:00,270.47,1037,58,0.67,56,clear sky
51.276217,-114.773533,1718136000,2024-06-11 20:00:00,292.9,999,32,5.47,231,broken clouds
54.360883,-116.700967,1719165600,2024-06-23 18:00:00,294.6,999,37,3.21,294,scattered clouds
55.934643,-113.733955,1716688800,2024-05-26 02:00:00,286.45,1002,51,1.68,148,overcast clouds
56.551033,-118.745683,1717610400,2024-06-05 18:00:00,286.79,1006,39,5.45,259,scattered clouds
56.2105,-111.547,1719957600,2024-07-02 22:00:00,295.43,1004,48,2.63,249,scattered clouds
56.30035,-112.072883,1720702800,2024-07-11 13:00:00,290.58,1006,84,2.65,253,clear sky
54.434913,-117.229088,1720890000,2024-07-13 17:00:00,294.19,1013,47,1.97,268,overcast clouds
58.712,-113.8742,1713549600,2024-04-19 18:00:00,281.62,1033,22,3.17,236,broken clouds
55.601784,-116.613894,1712617200,2024-04-08 23:00:00,285.78,1000,25,4.29,221,broken clouds
55.933917,-110.72055,1712710800,2024-04-10 01:00:00,280.48,1008,54,1.87,278,scattered clouds
54.459758,-114.636192,1713819600,2024-04-22 21:00:00,288.82,1010,26,5.63,327,few clouds
55.583817,-114.18565,1720630800,2024-07-10 17:00:00,302.04,1004,45,1.82,111,few clouds
55.890183,-115.748733,1720634400,2024-07-10 18:00:00,295.65,1004,62,2.56,120,broken clouds
53.76305,-115.396,1719788400,2024-06-30 23:00:00,294.17,1008,68,3.9,106,overcast clouds
57.089567,-113.988133,1720670400,2024-07-11 04:00:00,288.51,1006,95,3.7,295,light rain
58.9314,-110.620483,1720940400,2024-07-14 07:00:00,281.7,1015,88,1.27,49,clear sky
54.334152,-114.800552,1714078800,2024-04-25 21:00:00,285.3,1003,24,6.84,291,broken clouds
54.230618,-115.289772,1713211200,2024-04-15 20:00:00,283.18,1010,33,4.64,317,overcast clouds
53.139117,-115.370333,1715547600,2024-05-12 21:00:00,290.39,1006,50,2.66,351,overcast clouds
55.273833,-113.236633,1713805200,2024-04-22 17:00:00,284.96,1008,32,4.59,331,overcast clouds
56.613562,-117.330597,1714129200,2024-04-26 11:00:00,270.98,1019,96,1.44,340,broken clouds
53.4326,-117.571917,1715259600,2024-05-09 13:00:00,275.9,1029,68,2.04,225,broken clouds
55.262217,-113.2202,1715292000,2024-05-09 22:00:00,291.73,1021,29,4.7,288,clear sky
58.314,-116.28895,1715367600,2024-05-10 19:00:00,294.75,1006,31,5.6,294,clear sky
56.316217,-119.142917,1716163200,2024-05-20 00:00:00,278.03,1019,88,3.44,345,overcast clouds
58.076623,-116.71795,1713556800,2024-04-19 20:00:00,283.03,1032,22,2.95,219,few clouds
