"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-116.05","52.50","NORDEGG RS","3054845","2008-01-01","2008","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-116.05","52.50","NORDEGG RS","3054845","2008-01-02","2008","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-116.05","52.50","NORDEGG RS","3054845","2008-01-03","2008","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-116.05","52.50","NORDEGG RS","3054845","2008-01-04","2008","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-116.05","52.50","NORDEGG RS","3054845","2008-01-05","2008","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-116.05","52.50","NORDEGG RS","3054845","2008-01-06","2008","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-116.05","52.50","NORDEGG RS","3054845","2008-01-07","2008","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-116.05","52.50","NORDEGG RS","3054845","2008-01-08","2008","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-116.05","52.50","NORDEGG RS","3054845","2008-01-09","2008","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-116.05","52.50","NORDEGG RS","3054845","2008-01-10","2008","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-116.05","52.50","NORDEGG RS","3054845","2008-01-11","2008","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-116.05","52.50","NORDEGG RS","3054845","2008-01-12","2008","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-116.05","52.50","NORDEGG RS","3054845","2008-01-13","2008","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-116.05","52.50","NORDEGG RS","3054845","2008-01-14","2008","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-116.05","52.50","NORDEGG RS","3054845","2008-01-15","2008","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-116.05","52.50","NORDEGG RS","3054845","2008-01-16","2008","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-116.05","52.50","NORDEGG RS","3054845","2008-01-17","2008","01","17","","","","","","","","","","","","","","","","","","","","","","",""
