"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-01","2021","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-02","2021","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-03","2021","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-04","2021","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-05","2021","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-06","2021","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-07","2021","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-08","2021","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-09","2021","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-10","2021","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-11","2021","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-12","2021","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-13","2021","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-14","2021","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-15","2021","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-16","2021","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-17","2021","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-18","2021","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-19","2021","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-20","2021","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-21","2021","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-22","2021","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-23","2021","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-24","2021","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-25","2021","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-26","2021","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-27","2021","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-28","2021","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-29","2021","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-30","2021","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-01-31","2021","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-01","2021","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-02","2021","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-03","2021","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-04","2021","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-05","2021","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-06","2021","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-07","2021","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-08","2021","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-09","2021","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-10","2021","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-11","2021","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-12","2021","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-13","2021","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-14","2021","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-15","2021","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-16","2021","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-17","2021","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-18","2021","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-19","2021","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-20","2021","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-21","2021","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-22","2021","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-23","2021","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-24","2021","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-25","2021","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-26","2021","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-27","2021","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-02-28","2021","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-01","2021","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-02","2021","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-03","2021","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-04","2021","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-05","2021","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-06","2021","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-07","2021","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-08","2021","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-09","2021","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-10","2021","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-11","2021","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-12","2021","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-13","2021","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-14","2021","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-15","2021","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-16","2021","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-17","2021","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-18","2021","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-19","2021","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-20","2021","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-21","2021","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-22","2021","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-23","2021","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-24","2021","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-25","2021","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-26","2021","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-27","2021","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-28","2021","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-29","2021","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-30","2021","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"-116.75","54.92","SWEATHOUSE LO","3076320","2021-03-31","2021","03","31","","","","","","","","","","","","","","","","","","","","","","",""
