"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-118.22","58.20","BASSET LO","30705LQ","2012-01-01","2012","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-02","2012","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-03","2012","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-04","2012","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-05","2012","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-06","2012","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-07","2012","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-08","2012","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-09","2012","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-10","2012","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-11","2012","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-12","2012","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-13","2012","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-14","2012","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-15","2012","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-16","2012","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-17","2012","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-18","2012","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-19","2012","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-20","2012","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-21","2012","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-22","2012","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-23","2012","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-24","2012","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-25","2012","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-26","2012","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-27","2012","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-28","2012","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-29","2012","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-30","2012","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-01-31","2012","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-01","2012","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-02","2012","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-03","2012","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-04","2012","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-05","2012","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-06","2012","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-07","2012","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-08","2012","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-09","2012","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-10","2012","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-11","2012","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-12","2012","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-13","2012","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-14","2012","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-15","2012","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-16","2012","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-17","2012","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-18","2012","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-19","2012","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-20","2012","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-21","2012","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-22","2012","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-23","2012","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-24","2012","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-25","2012","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-26","2012","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-27","2012","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-28","2012","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-02-29","2012","02","29","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-01","2012","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-02","2012","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-03","2012","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-04","2012","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-05","2012","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-06","2012","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-07","2012","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-08","2012","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-09","2012","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-10","2012","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-11","2012","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-12","2012","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-13","2012","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-14","2012","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-15","2012","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-16","2012","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-17","2012","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-18","2012","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-19","2012","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-20","2012","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-21","2012","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-22","2012","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-23","2012","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-24","2012","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-25","2012","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-26","2012","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-27","2012","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-28","2012","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-29","2012","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-30","2012","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-03-31","2012","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-01","2012","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-02","2012","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-03","2012","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-04","2012","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-05","2012","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-06","2012","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-07","2012","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-08","2012","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-09","2012","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-10","2012","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-11","2012","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-12","2012","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-13","2012","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-14","2012","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-15","2012","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-16","2012","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-17","2012","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-18","2012","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-19","2012","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-20","2012","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-21","2012","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-22","2012","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-23","2012","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-24","2012","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-25","2012","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-26","2012","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-27","2012","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-28","2012","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-29","2012","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-04-30","2012","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-05-01","2012","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-05-02","2012","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"-118.22","58.20","BASSET LO","30705LQ","2012-05-03","2012","05","03","","","","","","","","","","","","","","","","","","","","","","",""
