YEAR,LATITUDE,LONGITUDE,GENERAL_CAUSE,START_DATE,FUEL_TYPE
2024,54.79995,-115.408617,Power Line Industry,2024-02-23 08:50:00,M1
2024,55.262483,-114.752717,Resident,2024-03-31 11:50:00,O1b
2024,53.58311,-115.03843,Resident,2024-04-26 14:00:00,O1a
2024,53.463807,-117.443383,Railroad,2024-06-07 11:45:00,O1a
2024,55.14825,-112.4718,Resident,2024-06-20 14:55:00,O1a
2024,52.909533,-115.798133,Forest Industry,2024-07-06 12:00:00,S1
2024,57.103327,-115.268398,Lightning,2024-07-10 15:16:00,C2
2024,57.21635,-115.220383,Lightning,2024-07-10 15:54:00,C2
2024,56.9263,-116.71205,Lightning,2024-07-13 18:25:00,C2
2024,54.102467,-115.78265,Undetermined,2024-04-17 11:37:00,M1
2024,56.4305,-111.042,Resident,2024-05-11 14:45:00,O1a
2024,58.79335,-111.0685,Recreation,2024-05-12 07:00:00,C3
2024,59.626967,-117.449217,Lightning,2024-06-30 19:06:00,C2
2024,56.117083,-110.9935,Lightning,2024-07-02 13:30:00,C2
2024,56.07425,-110.3874,Lightning,2024-07-02 14:00:00,C2
2024,55.8963,-115.615733,Lightning,2024-07-10 13:57:00,M2
2024,57.525183,-117.651467,Lightning,2024-07-12 16:45:00,C2
2024,52.495383,-115.510883,Oil & Gas Industry,2024-03-11 12:13:00,S1
2024,58.382333,-115.915333,Agriculture Industry,2024-04-17 07:00:00,M2
2024,51.276217,-114.773533,Lightning,2024-06-11 16:00:00,O1b
2024,54.360883,-116.700967,Power Line Industry,2024-06-23 13:49:00,O1b
2024,55.934643,-113.733955,Undetermined,2024-05-25 21:45:00,O1a
2024,56.551033,-118.745683,Power Line Industry,2024-06-05 14:00:00,O1b
2024,56.2105,-111.547,Lightning,2024-07-02 17:57:00,C2
2024,56.30035,-112.072883,Lightning,2024-07-11 08:59:00,C2
2024,54.434913,-117.229088,Lightning,2024-07-13 12:28:00,C2
2024,55.209667,-116.651167,Agriculture Industry,2023-11-15 09:00:00,O1a
2024,55.23261,-115.307998,Resident,2023-11-17 09:00:00,O1a
2024,58.712,-113.8742,Incendiary,2024-04-19 14:00:00,O1a
2024,57.598395,-117.197832,Agriculture Industry,2024-02-01 12:00:00,O1b
2024,55.601784,-116.613894,Resident,2024-04-08 19:00:00,O1a
2024,55.933917,-110.72055,Incendiary,2024-04-09 20:15:00,O1b
2024,53.322533,-117.661333,Recreation,2024-02-18 08:00:00,C2
2024,54.459758,-114.636192,Agriculture Industry,2024-04-22 17:00:00,S2
2024,55.583817,-114.18565,Lightning,2024-07-10 12:04:00,C2
2024,55.890183,-115.748733,Lightning,2024-07-10 13:20:00,C2
2024,53.76305,-115.396,Lightning,2024-06-30 18:52:00,M2
2024,57.089567,-113.988133,Lightning,2024-07-10 23:38:00,C2
2024,58.9314,-110.620483,Lightning,2024-07-14 02:35:00,C1
2024,54.334152,-114.800552,Undetermined,2024-04-25 17:00:00,M1
2024,54.230618,-115.289772,Incendiary,2024-04-15 16:00:00,O1a
2024,53.139117,-115.370333,Power Line Industry,2024-05-12 16:50:00,M1
2024,55.273833,-113.236633,Resident,2024-04-22 12:35:00,O1b
2024,56.613562,-117.330597,Agriculture Industry,2024-04-26 07:00:00,O1a
2024,53.4326,-117.571917,Power Line Industry,2024-05-09 08:50:00,C2
2024,55.262217,-113.2202,Resident,2024-05-09 17:50:00,O1a
2024,58.314,-116.28895,Undetermined,2024-05-10 15:00:00,C2
2024,56.316217,-119.142917,Recreation,2024-05-19 20:00:00,M2
2024,58.076623,-116.71795,Recreation,2024-04-19 15:30:00,D1
2024,53.507383,-117.3103,Other Industry,2024-04-26 00:50:00,C2
2024,53.811257,-117.01634,Lightning,2024-07-18 17:50:00,C2
2024,52.713017,-115.999983,Lightning,2024-07-18 19:15:00,C2
2024,52.719833,-116.119983,Lightning,2024-07-19 15:15:00,C2
2024,53.183133,-117.735033,Lightning,2024-07-19 15:48:00,C2
2024,53.260017,-116.598883,Lightning,2024-07-15 20:11:00,C2
2024,58.122167,-115.695667,Undetermined,2024-06-28 11:30:00,M2
2024,53.260633,-116.6002,Lightning,2024-07-15 20:11:00,C2
2024,57.253817,-114.927017,Power Line Industry,2024-05-19 17:00:00,O1b
2024,57.010752,-118.34991,Lightning,2024-05-26 15:00:00,C2
2024,53.5343,-116.069083,Incendiary,2024-05-29 03:00:00,O1a
2024,53.680167,-116.924033,Power Line Industry,2024-05-30 16:30:00,O1a
2024,55.917533,-110.733367,Incendiary,2024-04-24 18:45:00,D1
2024,56.212083,-110.875733,Undetermined,2024-04-24 13:15:00,O1a
2024,55.918033,-110.737767,Resident,2024-04-24 18:00:00,O1a
2024,55.032167,-117.507833,Under Investigation,2024-04-28 10:00:00,M1
2024,53.047033,-115.031883,Power Line Industry,2024-05-31 12:50:00,O1a
2024,53.66875,-115.988083,Undetermined,2024-06-05 16:50:00,O1a
2024,54.795928,-115.515512,Oil & Gas Industry,2024-06-07 14:35:00,C2
2024,51.073815,-115.336913,Recreation,2024-06-12 19:00:00,O1b
2024,53.035617,-116.663383,Lightning,2024-06-14 19:20:00,C2
2024,55.927,-110.723917,Incendiary,2024-04-11 15:12:00,O1b
2024,58.540617,-115.1653,Incendiary,2024-04-10 14:45:00,O1a
2024,58.514033,-115.148867,Resident,2024-04-17 14:30:00,O1a
2024,52.202717,-114.859533,Power Line Industry,2024-06-05 21:50:00,O1b
2024,54.705933,-111.96685,Resident,2024-06-19 18:20:00,O1b
2024,55.390833,-115.458967,Agriculture Industry,2024-06-20 13:38:00,O1b
2024,52.824033,-115.120083,Lightning,2024-06-22 15:04:00,C3
2024,54.3985,-117.597167,Lightning,2024-06-20 20:05:00,C2
2024,54.958267,-115.075267,Lightning,2024-06-23 11:59:00,C2
2024,58.875167,-118.4255,Lightning,2024-06-23 19:05:00,M2
2024,59.003583,-119.1099,Lightning,2024-06-27 16:15:00,M2
2024,58.65665,-115.862117,Lightning,2024-06-24 16:00:00,M2
2024,55.902333,-110.749867,Incendiary,2024-04-11 16:25:00,O1b
2024,55.942667,-110.713467,Incendiary,2024-04-23 13:30:00,O1a
2024,58.705533,-118.687633,Resident,2024-04-25 05:00:00,O1a
2024,53.918967,-118.713535,Recreation,2024-06-20 17:30:00,C2
2024,53.56604,-116.592545,Power Line Industry,2024-05-30 17:00:00,O1a
2024,56.067375,-110.373883,Lightning,2024-07-02 12:00:00,C2
2024,58.632,-117.264667,Lightning,2024-07-01 00:48:00,C2
2024,55.923833,-110.726717,Incendiary,2024-04-08 13:30:00,O1b
2024,54.672467,-111.86495,Resident,2024-02-08 08:00:00,M1
2024,54.697383,-111.781433,Recreation,2024-02-11 17:00:00,M1
2024,52.846833,-115.502,Incendiary,2024-04-24 16:10:00,O1a
2024,56.199333,-110.792,Undetermined,2024-06-30 14:15:00,O1b
2024,58.86795,-116.5729,Lightning,2024-06-23 16:06:00,C2
2024,57.15085,-114.8087,Lightning,2024-07-10 17:58:00,M2
2024,55.461717,-119.858533,Resident,2024-04-01 14:00:00,D1
2024,53.6092,-115.107467,Resident,2024-03-24 08:00:00,S1
2024,55.6288,-119.14875,Forest Industry,2024-03-31 15:00:00,S1
2024,53.167305,-115.396186,Oil & Gas Industry,2024-04-16 12:53:00,O1a
2024,55.931983,-110.726067,Incendiary,2024-04-20 20:00:00,O1a
2024,53.573916,-116.047924,Undetermined,2024-04-20 13:30:00,O1a
2024,56.749983,-113.3735,Lightning,2024-05-26 14:41:00,C2
2024,58.78455,-110.709117,Lightning,2024-07-08 15:00:00,C2
2024,56.360333,-111.163383,Lightning,2024-07-10 02:30:00,C2
2024,55.929417,-110.72415,Incendiary,2024-04-20 14:30:00,D1
2024,55.91595,-110.734783,Resident,2024-04-20 15:09:00,D1
2024,55.633417,-111.077,Resident,2024-04-20 15:00:00,O1a
2024,55.920288,-110.444588,Resident,2024-04-20 17:00:00,D1
2024,55.949483,-110.705167,Resident,2024-04-20 18:00:00,M1
2024,57.75235,-117.329383,Lightning,2024-07-13 19:00:00,M2
2024,53.044233,-115.603783,Forest Industry,2024-07-19 14:30:00,O1b
2024,53.1103,-116.546217,Lightning,2024-07-15 20:37:00,C2
2024,54.544167,-118.079167,Lightning,2024-07-19 15:47:00,C2
2024,58.473533,-117.150117,Resident,2024-04-20 00:50:00,O1a
2024,55.980398,-114.312275,Lightning,2024-05-26 16:02:00,O1a
2024,56.219033,-112.583,Lightning,2024-07-01 13:30:00,C2
2024,59.7079,-117.1443,Lightning,2024-07-01 21:52:00,C2
2024,59.781383,-117.104483,Lightning,2024-07-02 10:00:00,C2
2024,57.329833,-111.995,Lightning,2024-07-02 13:25:00,C2
2024,57.567517,-111.822167,Lightning,2024-07-02 13:23:00,S1
2024,57.83995,-112.611283,Lightning,2024-07-02 15:01:00,C2
2024,57.844383,-112.644417,Lightning,2024-07-01 04:15:00,C2
2024,55.761933,-119.5312,Power Line Industry,2024-07-05 11:20:00,M2
2024,56.318333,-112.095,Lightning,2024-07-10 17:16:00,C2
2024,56.301,-112.124667,Lightning,2024-07-10 17:09:00,C2
2024,56.347833,-112.038667,Lightning,2024-07-10 17:26:00,C2
2024,56.373667,-112.009833,Lightning,2024-07-10 17:31:00,C2
2024,56.2655,-112.0415,Lightning,2024-07-10 17:21:00,C2
2024,56.336667,-111.961167,Lightning,2024-07-10 17:42:00,C2
2024,56.8072,-111.44205,Incendiary,2024-05-15 12:05:00,S1
2024,58.562617,-117.743867,Lightning,2024-07-02 16:00:00,C1
2024,53.315283,-117.184533,Lightning,2024-07-15 19:18:00,C2
2024,54.807633,-119.071133,Power Line Industry,2024-05-12 15:00:00,M1
